datetimes,Grupo de edad,dead,icu_total,icu_original,icu_gamma
2021-03-20,40-49,5.0,8.738020274221544,5.62897910751981,3.1090411667017435
2021-03-21,40-49,5.142857142857143,9.056031053958128,5.668139906203033,3.387891147755093
2021-03-22,40-49,5.571428571428571,9.388715934453794,5.706988581587255,3.6817273528665444
2021-03-23,40-49,5.0,9.735838280882945,5.7454086481527336,3.9904296327302107
2021-03-24,40-49,5.285714285714286,10.096954051034288,5.783275201795275,4.31367884923902
2021-03-25,40-49,2.857142857142857,10.47138284061092,5.8204424858400206,4.650940354770899
2021-03-26,40-49,3.0,10.85826287918355,5.8567499703067,5.00151290887686
2021-03-27,40-49,2.857142857142857,11.25665283647762,5.892039775072951,5.364613061404681
2021-03-28,40-49,3.142857142857143,11.665595358112666,5.926165974359561,5.739429383753116
2021-03-29,40-49,4.571428571428571,12.084080717069618,5.958981382823692,6.125099334245926
2021-03-30,40-49,4.714285714285714,12.51092985838171,5.990306775416466,6.520623082965255
2021-03-31,40-49,4.571428571428571,12.9447050180496,6.019906844094222,6.924798173955372
2021-04-01,40-49,5.714285714285714,13.383783772285296,6.047502525785811,7.336281246499501
2021-04-02,40-49,5.857142857142857,13.82663091845938,6.0728278265471465,7.753803091912193
2021-04-03,40-49,5.857142857142857,14.272135359937744,6.095702671012781,8.17643268892496
2021-04-04,40-49,6.0,14.719794507535694,6.116075450014433,8.603719057521273
2021-04-05,40-49,4.857142857142857,15.169603065345983,6.13400400830886,9.035599057037095
2021-04-06,40-49,5.857142857142857,15.621677756685173,6.149581572462757,9.472096184222432
2021-04-07,40-49,6.571428571428571,16.075799745001003,6.16284435938918,9.912955385611811
2021-04-08,40-49,6.285714285714286,16.53111193915465,6.173707998170617,10.357403940984023
2021-04-09,40-49,6.0,16.98612858800936,6.181964492569989,10.804164095439363
2021-04-10,40-49,6.285714285714286,17.439031047133163,6.18733612570717,11.251694921425969
2021-04-11,40-49,6.714285714285714,17.888065118008946,6.189552879922306,11.698512238086634
